Session,Cell ID,InRF,ExRF,Selectivity,Cue Analysis,Array Analysis,Comments,Suppression,Cue/Array,
L110422,1a,P2,P4,2,y,y,"Poor response to cue. RF choice a bit unclear. P6 response is a bit late and lower than delay activity. P2 response peak around 210ms - offset response? Yes, this seems like a consistent late response. We should account for these when looking at all cells. Interestingly, P4 and P5 have the strongest array activity but almost no cue related activity.",,,
L110422,1b,P4,P3,2,y,y,"Poor response to cue. RF choice unclear. Could be P4, P5, or P2. P4 response is late, so increase the time window to 350ms after cue onset; or choose P5, which gives biggest response within 30-200ms post-cue onset for latency analysis. When calculating population spdfs, this cell falls into the sub-type of cells showing stimulus-induced suppression. I think this suppression leads to the rebound activity after P4 cues. P2 actually has the largest average response and peak response in the 30-200ms window. I agree - there is clear suppression on array onset. The early P4 peak after array onset may be a real response though.",P4? (cue); P3-P6 (array),(Cue and) Array,
L110429,1a,P2,P4,4,y,supp,Clear P2 response and suppression to the array,P2/P3,Array,
L110429,1b,P1,P4,2,y,y,"Poor response to cue. RF choice unclear. Clear response to array onset though. Small increase in response to cue at P1; P2 cue induces a little suppression? Also a little suppression after P2 target-evoked response? I see suppression to the cue at P2, but not so much more than other locations to the array",P2?,Cue?,
L110429,1c,P2,P4,4,y,supp,Clear P2 response and suppression to the array,P2,Array,
L110519,1a,P1,P2,2,y,y,"Poor response to cue. RF choice unclear. Clear response to array onset though. Although P3 shows a little response to cue, P1 shows slightly more. ",,,
L110519,1b,P1,P5,4,y,y,Clear late P1 response.,,,
L110523,1a,x,x,1,x,x,"Sparse firing. Poor response to cue. RF choice unclear. Possibly P6, P5, or P2. 0D data is sparse. When combining 0D and 5D, there is firing to the cue on 8/29<1/3 and to the cue on 4/29 trials. Exclude.",,,
L110523,1b,P1,P5,4,combine,supp,"Clear P1 response. 0D data suggests P2 or P3. This cell shows some suppression after the array onset when target at P1 fot he 5 distractor condition. Interestingly, this suppression is absent for the zero distractor condition (P1 shows excitatory response to cue in 5D; slightly less in 0D). ",P1,Array,
L110524,1a,P6,P2,2,combine,supp,"Poor response to cue. RF choice unclear. Possibly P6, P4, or P3. 0D data also unclear. After small response to P6 cues, there appears to be some suppression after P6 targets. The suppression is pretty small though.",P6?,Array?,
L110531,1a,P2,P6,3,y,y,Clear late P2 response but maybe early P5 response. 0D data unclear. Larger response to P2 cue in 5D than 0D condition (less attention in 0D?). ,,,
L110531,1b,P6,P2,2,combine,combine,Sparse firing. 0D data also suggests P6 but at much slower timing.,,,
L110711,1a,P5,P4,2,combine,combine,Poor response to cue - not over baseline variability. RF choice unclear. 0D data is also not clear and has few trials. Peak response to cue P5 at 210ms. There may be a little cue-induced suppression for P6 in 5D and 0D conditions (and maybe P5 giving rise to rebound late response in 5D?). The cue-induced suppression for P6 is questionable; it may be due to chance.,P6?,Cue?,
L110810,1a,x,x,1,x,x,"Exclude. Lots of firing and trials, but no response to cue over baseline variability. RF choice unclear but possibly P1 with a short peak. 0D data suggests P1 or P3. This cell shows little/no increase in spike rate to cues in 5D condition. However, there does appear to be some suppression at P3 for the cue and array in the 200ms following their onset. Interestingly, in the 0D condition, there may be a very slight increase in response to P3 cues. Interesting. The suppression to the array does not seem selective to P3, but the cue suppression may be selective at P3.",P3?,Cue and Array?,
L110811,1a,P3,P2,2,combine,combine,"Poor response to cue. RF choice could be P3 or P4 but 0D data strongly suggests P4. Bursty cell. Response to P3 cues in 5D condition, but little response in 0D condition. ",,,
L110811,1b,P4,P1,2,combine,supp,"Poor response to cue. P4 response is late. 0D data is not clear. Cell responds to P4 cue (and a little later to P6 cue), but is suppresed when target at P4 in 5D condition. ",P4,Array,
L110811,1c,x,x,1,x,x,Exclude. Sparse firing. Change in firing pattern at around trial 60. RF may be P3 but hard to tell. 0D data sparse.,,,
L110812,1a,x,x,0,x,x,"Exclude. Sparse firing. 0D data sparse. No increase in spike rate to cues. However, although there is a low spontaneous spike rate, there does seem to be suppression after P1 cues and when the target is at P1. The low spontaneous spike rate makes the suppression difficult to judge",P1?,Cue and Array?,
L110812,1b,P3,P4,4,combine,combine,Clear P3 response to cue. 0D data suggests P2.,,,
